Id,Label,TotalCommits,TotalIssues,TotalPullRequests,PublicRepos
531,emersonfreitas,1,0,0,67
532,araujo21x,93,0,0,49
533,matheusmelchiades,35,1,0,79
534,gabriel-abn,714,2,1,29
535,fredericokingston,7,0,0,25
536,pablomaribondo,5,1,0,95
537,cesarhilario,147,0,0,32
538,guilhermemiua,43,2,0,55
539,lucthis,0,0,0,26
540,marcusviniciusfa,186,0,1,29
541,lorexp,8,0,0,29
542,dheysonalves,14,0,0,83
543,lopesboa,29,0,14,89
544,joaopaulopmedeiros,156,0,2,87
545,renanlmd,2,0,0,16
546,grootkng,90,0,1,28
547,mouraoinfo,1,0,0,10
548,lucasemanuel,0,1,0,33
549,jeffersoncbd,281,1,9,38
550,augustolimads,122,0,0,76
551,viniciusmeneses,162,0,0,35
552,EduardoGiacomini,79,2,10,38
553,brunobandev,38,0,5,67
554,alohaguilherme,0,1,0,6
555,matheusrcruz,24,0,1,90
556,adil-Pathan,0,0,0,69
557,famaciel,87,0,0,14
558,natanascimento,18,0,9,76
559,vanessa-nascimento,25,0,6,45
560,muriiloandrade,6,0,0,28
561,740fernando,0,0,0,149
562,Luis-Miguel1,8,0,0,29
563,wallanpsantos,133,0,16,40
564,juniorstreichan,0,0,0,42
565,yuriserka,38,0,0,25
566,herikLorencao,19,0,1,33
567,brunocbatista,2,0,0,9
568,lanaschuster,41,0,3,13
569,Ferreira-Jefferson,0,0,0,8
570,OtavioBernardes,107,0,3,6
571,Jailsvs,1630,0,786,65
572,jmoranin98,0,0,0,10
573,samuelsabino,0,0,0,12
574,gmoreiraGP,0,0,0,17
575,jorgepereirajunior,196,0,16,11
576,rodrigocode4,66,0,15,32
577,franciscojunior10,59,0,0,65
578,lucaswilliameufrasio,157,1,1,113
579,renato-aguena,1,0,0,17
580,francyglaucio,1,0,0,8
581,JoaoNascSilva,8,0,0,58
582,edersonmberti,8,1,0,45
583,ederfmatos,50,2,2,56
584,jonataspinto,200,2,17,68
585,felipe-tomino,4,0,0,6
586,ElzioLima,121,0,0,20
587,lucas54neves,70,0,2,120
588,demmorou,0,0,0,55
589,eaglejosue,0,0,0,13
590,antoniolopesg,56,0,3,21
591,mikansc,674,14,69,92
592,Trickcorrea,59,0,1,14
593,jaksonxavier,13,0,6,3
594,gilenoOP,95,0,27,6
595,alexfapa,2,0,0,18
596,JVGC,534,16,1,30
597,Daniel0liver,75,0,0,27
