Id,Label,TotalCommits,TotalIssues,TotalPullRequests,PublicRepos
598,ValleJulien,0,0,0,28
599,diegopf,94,0,66,16
600,scootykinz,0,0,0,29
601,4sskick,178,0,4,70
602,nccchirag,0,1,0,12
603,marcossantana,0,0,0,10
604,amudev007,0,0,0,32
605,5hyguy,0,0,0,9
606,dbelanger,1,1,1,13
607,Eddcp,51,1,2,32
608,gregvissing,31,0,4,142
609,frankstepanski,893,4,4,520
610,yukonzach,0,0,0,4
611,dalsn,11,0,0,46
612,joshuaadu,476,0,10,41
613,maquejp,48,6,1,1
614,tech-resource,0,0,0,1
615,uonai,0,0,0,33
616,bharathibtch,0,0,0,19
617,Aleila,0,0,0,1
618,arhis77,0,0,0,17
619,UOCecalero,0,0,0,9
620,noortas,0,0,0,39
621,HTshandou,0,0,0,93
622,tobyjameslee,0,0,0,2
623,mab-u,0,0,0,5
624,ghoshArnab,11,0,3,57
625,ladyleet,0,0,0,149
626,d-wasserman,123,11,5,30
627,kaiquecruz,0,0,0,47
628,shohan4556,87,1,1,43
629,androidShuang,0,0,0,133
630,TasnimFabiha,21,1,6,16
631,ywy0620,0,0,0,9
632,AyeMyaThu,0,0,0,53
633,Vinothapplife,0,0,0,24
634,tovar3012,0,0,0,7
635,mikegrogan,0,0,0,4
636,mrcastaneda,0,0,0,29
637,gabormarinov,4,1,0,5
638,davidbustos,0,0,0,4
639,schultzp,0,0,0,1
640,magestik247,0,0,0,184
641,Ketan108ideaspace,0,0,0,7
642,ibanFR,15,0,0,8
643,nirajkaushal,10,1,1,39
644,Shubhamdev1,0,0,0,18
645,dbrewitz,0,0,0,18
646,pavanprakash89,0,0,0,13
647,mrtnrocks,4,0,1,43
648,EMPAT94,167,6,27,15
649,activechild,0,0,0,59
650,sandlergiovanni,0,0,0,3
651,kountouretis,0,0,0,3
652,SaswatArabinda,1,0,0,13
653,chaabni,0,0,0,781
654,seanwestfall,21,2,0,57
655,hamdialsaqqaf,0,0,0,1
656,jaynandu,1,0,0,153
657,VirginieGodfrin,0,0,0,82
658,alma4rebi,0,0,0,627
659,Husseiner,0,0,0,0
660,PremkumarAgrawal,0,0,0,1
661,eoaranda,2,0,0,17
662,DevAhmadShahin,0,0,0,0
663,SchwertAs,0,0,0,2
664,leotoneo,0,0,0,27
665,zerontec,373,0,0,113
666,yourmkbro,1,0,0,4
667,seanreinhardtapps,23,1,3,11
668,signedbytes,0,0,0,524
669,akinhwan,2,0,0,119
670,luffyli,0,0,0,8
671,GitsAndGlamour,0,0,0,75
672,amandeepmittal,654,3,366,189
673,amandakoster,0,0,0,145
674,myl142857,0,0,0,203
675,nevenne,0,0,0,10
676,veyselkaya,77,0,0,25
677,theoomoregbee,14,0,3,89
678,gvolkan,2,0,0,39
679,waheedsabir,0,0,0,103
680,volving,240,0,0,167
681,khld,2,0,0,40
682,RobertoAlbino,76,0,0,44
683,KhalilZaidoun,0,0,0,3
684,joseba890,0,0,0,3
685,onurpalaz,0,0,0,5
686,tedfan,0,0,0,2
687,byteshiva,128,19,2,381
688,ashishsharma30,0,0,0,14
689,grantfletcher,0,0,0,0
690,eozguc,0,0,0,9
691,borgoya,0,0,0,5
692,763077374,0,0,0,17
693,F4dhil9ant3ng,0,0,0,213
694,ArefMq,3,0,0,28
695,max1850,0,0,0,0
696,samuelT2,1,6,0,1
697,Zet-Web,0,0,0,157
698,MarkDWard,1,0,0,11
699,aniweso,0,0,0,5
700,celtexican,0,0,0,0
701,vitorhugoro1,3,0,0,29
702,Franckweber,0,0,0,12
703,feristation,0,0,0,6
704,appleseedexm,65,2,0,10
705,ocoguz,0,1,0,2
706,evilwebshell,0,0,0,66
707,AvisekhSamanta,0,0,0,25
708,wuwulailai,36,0,0,338
709,sandysanthosh,502,0,1,622
710,glynnis1305,0,0,0,3
711,Ositon,1,0,0,55
712,ppezier,0,0,0,10
713,velifiliz,0,0,0,16
714,victor-momo,40,0,0,4
715,hometownpixel,34,0,0,1
716,evandojunior,0,0,0,97
717,vinodf,0,0,0,7
718,remipassmoilesel,88,0,0,67
719,cip8,0,4,1,37
720,Violet-Guo,0,0,0,44
721,a1300,85,17,20,114
722,a-bakos,869,48,30,21
723,bapinney,0,0,0,39
724,jootee,0,0,0,33
725,ebarault,1,0,0,30
726,taijihagino,32,0,1,76
727,SalehMahmood,3,0,0,15
728,array0,1,0,0,7
729,brunoravanhani,0,0,0,12
730,darkson9911,0,0,0,5
731,ftabor,0,0,0,5
732,eryxjose,62,0,0,42
733,danielp14,15,0,0,12
734,adrd,1,0,0,18
735,MiY4MOTO,0,0,0,0
736,richmanl,0,0,0,0
737,youassi,2,0,2,9
738,AntonioVeintiuno,0,0,0,21
739,deepakshuklacb,0,0,0,4
740,vofili,2,0,0,45
741,lulingling,0,0,0,20
742,leemoi,0,0,0,0
743,seniorsam,0,0,0,20
744,gaybro8777,0,0,0,6306
745,sidharthmehra,0,0,0,0
746,AmrGablla,32,1,2,25
747,paulovitorjp,0,0,0,11
748,qppq54s,7,3,4,5
749,BesrourMS,42,0,1,88
750,mriza1815,0,0,0,15
751,carolinatorres123,0,0,0,1
752,saurabhgupta1233,0,0,8,9
753,blackstorm,88,16,40,96
754,Penguinlay,1,0,0,41
755,berzavlu,89,0,0,43
756,jmenglis,1,0,0,80
757,darcystonge,0,0,0,2
758,sdq-sts,65,0,1,18
759,GoulartJnr,0,1,0,24
760,sudoalgorithm,12,0,0,16
761,gauravssnl,43,0,1,338
762,chaakula,0,0,0,31
763,dragon8github,4,0,0,264
764,mariuswallin,30,0,0,58
765,m-onz,265,1,0,13
766,carolhcs,81,0,0,15
767,brycewray,3242,13,3,34
768,sidharthsikka,0,0,0,8
769,JianLoongWoo,0,0,0,0
770,martindiiorio,0,0,0,17
771,ardoin,0,0,0,0
772,yoojene,313,0,0,78
773,Iula79,0,0,0,49
774,RonyNasr,0,0,0,103
775,uvdepanda,0,0,0,7
776,AlexxNica,69,85,22,6671
777,solvaholic,61,10,11,59
778,souksanaSopha,0,0,0,12
779,samcus,0,0,0,31
780,stfnltnr,0,0,0,26
781,cdara,3,0,0,10
782,TansyZhang,0,0,0,31
783,Kaal581993,0,0,0,16
784,396763284,0,0,0,9
785,FranciscoJGuz,0,0,0,9
786,anfield343,0,0,0,0
787,NisTa24,9,0,6,17
788,DBelknap,0,0,0,2
789,josecarlosdw,184,0,0,18
790,amangalvedhekar,9,0,0,30
791,A-L-L-A-L-L,0,0,0,2
792,apolmig,60,0,1,122
793,plaidpizazz,3,0,0,29
794,kyawswarthwin,131,3,0,86
795,allanmelo,0,0,0,19
796,pavankarnati,0,0,0,0
797,vperdigao,1,0,0,40
798,tkitesy,3,0,0,17
799,adilsonsds,10,0,0,7
800,amrayoub,0,0,3,173
801,SoufianeAbid,0,0,0,2
802,DionneNoellaBarretto,5,0,0,176
803,thesurya9,8,0,0,19
804,rahulyhg,0,0,0,8189
805,Safeer12,0,0,0,22
806,Nebu23,0,0,0,2
807,Khanagha1,0,0,0,3
808,Shubham007yadav,0,0,0,42
809,jbci,0,0,0,22
810,post-Industrial,0,0,0,6
811,vesparotta,0,0,0,7
812,hamdysdiri,46,0,6,5
813,RonenDoTech,0,0,0,51
814,riteshkonduru,0,0,0,33
815,nisargnegi,18,0,0,18
816,violetluna,0,0,0,5
817,ReidHolmes,0,0,0,9
818,gabemilani,15,0,0,13
819,JamesyfNascimento,0,0,0,23
820,WesleyClode,11,0,1,118
821,Nataschrist,0,0,0,1
822,Krutie,14,0,4,34
823,HimanshuHD,165,0,45,90
824,danijmoss,0,0,0,51
825,jibrel,10,0,1,420
826,jyothiradityak,1,2,0,12
827,NetworkWebMasters,0,6,0,108
828,projectpwr,2,0,0,5
829,manssorr,8,2,1,23
830,vinayakkulkarni,8278,7,105,89
831,KawtharE,0,0,0,15
832,zmazouzi,0,0,0,33
833,hanssoft,0,0,0,4
834,UnknownDoggo,2,0,0,51
835,KOZmark,0,0,0,0
836,jonathan-meyer,23,1,0,43
