Id,Label,TotalCommits,TotalIssues,TotalPullRequests,PublicRepos
416,jessfraz,683,103,293,142
417,JoyceFatima,82,1,10,28
418,anamariasilva,41,1,0,26
419,dersonsena,7,2,0,85
420,mathrb22,67,0,11,69
421,rodrigobarros2,0,0,0,29
422,rafaelnacle,101,1,3,30
423,phedrakeson,19,0,0,77
424,rg3915,808,53,46,375
425,marcopollivier,132,4,4,56
426,cdfortes,13,6,0,84
427,omariosouto,487,2,123,337
428,gabriellopes00,1,1,0,27
429,edmolima-zz,0,0,0,13
430,lebrancconvas,1278,4,6,788
431,gabrielsanttana,17,0,2,87
432,CarlosLevir,22,0,10,37
433,pduartesilva2005,9,0,0,122
434,jhonndabi,1,1,1,136
435,Tsugami,226,4,49,112
436,waghcwb,2,2,0,432
437,brunobritodev,122,5,31,69
438,dbreskovit,332,1,6,41
439,devlucianoalcantara,0,0,0,0
440,FulvioFPimentel,38,0,0,31
441,verejava,0,0,0,5
442,danileao,25,0,0,127
443,defunkt,1,0,0,107
444,moxie0,0,0,0,19
445,jvrmaia,12,0,0,39
446,Grubba27,1219,11,164,167
447,HadesHappy,224,0,0,100
448,maykbrito,152,0,2,109
449,pedrohenriquebraga,76,1,0,26
450,marcostark,0,0,0,97
451,diegosfc100,0,0,0,27
452,cassiobotaro,293,3,17,71
453,AlexBitar80,188,14,107,40
454,yurimutti,54,0,11,32
455,ottofq,22,0,7,21
456,dmop,0,0,0,76
457,alanmxll,40,1,0,36
458,lilujunai,36,4,0,1204
459,hiperesp,262,0,1,50
460,dleitee,0,0,0,61
461,lucenarenato,102,2,10,325
462,matheusfrancisco,118,11,8,62
463,AlexGalhardo,439,0,2,93
464,josip0920-zz,0,0,0,31
465,Hani-Shaif,16,0,1,20
466,owenlamont,53,45,14,40
467,thiagocredico,228,0,75,69
468,ItaloMedici,92,15,11,30
469,manzoliric,40,3,2,21
470,davialcantaraa,139,2,1,7
471,ornicar,5245,40,226,413
472,killme2008,355,126,147,155
473,AreYouQQ,0,0,0,1
474,JinSSJ3,262,4,3,21
475,Pr3d4dor,66,1,14,56
476,zanotta,25,0,0,3
477,ADItya0367,135,0,0,28
478,gustavofcosta,129,0,0,25
479,danilo-vieira,32,0,5,57
480,zedbydade,285,0,3,26
481,Teun-vdB,26,2,1,3
482,Rafael-doctom,231,0,3,390
483,lkotlarenko,208,3,22,31
484,pellizzetti,8,0,1,47
485,BusterSR,829,4,9,18
486,uwenayoallain,19,0,3,73
487,viniciusestevam,1,0,0,33
488,Math-Vieira,458,0,1,11
489,akinncar,6,3,3,120
490,joaovictornsv,429,21,11,97
491,mauriciorocha1968,50,0,0,5
492,faeliaso,2,0,0,157
493,guilhermebkel,84,0,0,57
494,dann95,5,0,0,123
495,prandogabriel,234,1,1,62
496,montmor,16,0,8,53
497,tigefa4u,42,13,14,275
498,GregTakeo25,581,2,3,22
499,oieduardorabelo,153,2,11,151
500,zehfernandes,21,2,5,98
501,carolinabentresca,58,0,0,83
502,alangabrielbs,1,0,1,57
503,PratikDhanave,19,7,13,205
504,ortolanrj,0,0,0,8
505,ken,0,0,0,0
506,MateusMoreiraNaN,652,0,0,28
507,Ricmaloy,70,1,1,60
508,juuh42dias,64,0,0,88
509,antfu,5184,59,269,302
510,leandro-lugaresi,0,0,0,66
511,Rodrigo-Cn,211,0,1,22
512,Rohit19060,605,6,11,31
513,th37rose,186,131,55,54
514,Bunlong,380,27,27,216
515,tj,0,0,0,296
516,TiuTalk,8,4,1,3
517,carlosfgti,991,0,1,70
518,yamadapc,496,12,11,209
519,alinebastos,52,0,0,93
520,bmotadev,725,1,7,107
521,smart92dev,84,12,10,68
522,Dovyski,6,0,0,59
523,vcampitelli,406,15,56,54
524,alfakini,92,7,1,16
525,glaucia86,1031,6,18,475
526,vuuzleroma,0,0,0,0
527,evaporei,759,3,21,267
528,RafaelPrincival,0,0,0,38
529,Saidiislam,48,2,0,32
530,mattn,1961,25,143,1927
531,danilolutz,2,2,2,43
532,luisangelorjr,31,8,7,83
533,limatheus,0,1,0,49
534,jaydson,16,0,0,123
535,abhijit1990,0,0,0,1
536,vyahello,78,4,9,93
537,leonardoffirmino,114,0,0,31
538,MatheusHonorato,48,0,1,115
539,lincolnbrito,13,0,2,89
540,Mattiell0X,0,0,0,0
541,ismaely,90,0,0,26
542,anathlab,73,0,0,30
543,Iker-hub,157,0,0,40
544,nikitavoloboev,2819,224,10,49
545,mmertpolat,0,0,0,12
546,Manfrinne,133,0,0,40
547,mr-shrayan,13,0,0,41
548,fdaciuk,117,37,21,200
549,ribeiroevandro,68,7,8,185
550,rohankumar997,0,0,0,130
551,thiago-silva-tech,26,0,0,24
552,OmarUTEC,416,1,1,79
553,FMCalisto,407,4,1,125
554,johnrsfc,34,0,0,34
555,viniciusferreira,0,0,0,350
556,mlg404,0,0,0,56
557,jezielm7,44,0,17,80
558,andrewsmedina,2,0,8,357
559,bdlukaa,1227,52,117,18
560,aron-bordin,0,3,0,16
561,JuanPabllo,45,0,0,45
562,erravimishracse,0,0,0,22
563,laixintao,831,17,85,196
564,NilloGabriel,44,0,1,12
565,r3nanp,17,1,3,66
566,Julius-Hamilton,6,0,0,2
567,D4Fi,393,0,3,42
568,raloliver,90,1,4,295
569,th14g0d3v,0,0,0,14
570,fariasmateuss,36,3,5,44
571,douglasabnovato,857,51,91,82
572,buger,177,26,1068,133
573,allisson,47,0,43,78
574,Emanuelit,0,0,0,41
575,jjnanthakumar,42,3,1,156
576,Mohamed988o,0,0,0,2
577,MarcoWorms,1104,54,240,207
578,fernandobfr10,28,0,0,33
579,obetomuniz,190,65,1,14
580,CharlesDerek,206,3,18,164
581,Darlley,230,13,8,155
582,nettofarah,10,0,3,40
583,murillo-nahas,385,21,9,17
584,adrielborges,25,0,0,38
585,anbgsl1110,0,0,0,32
586,suissa,506,15,3,761
587,rapha-a1,0,1,0,3
588,Devsgeeknerd,1099,0,0,276
589,lysandroc,47,0,0,67
590,jmurowaniecki,1,0,0,172
591,thauska,37,0,2,72
592,Vitor-Klein,74,4,2,31
593,Fluen,0,0,0,0
594,alisson-aguiars2k,189,0,0,33
595,DanSmaR,556,0,2,224
596,evertonmaia22,0,0,0,13
597,luciorubeens,7,3,5,49
598,MeIzSaiPranav,7,0,0,84
599,helitonoliveiraa,53,0,1,98
600,rauchg,66,4,10,128
601,tiagoryandev,137,0,0,37
602,djalmaaraujo,378,10,38,111
603,hoangks5,26,0,1,96
604,RobertoAlbino,51,0,0,44
605,charlenopires,2,1,0,63
606,Kwynto,193,0,50,18
607,comarialuiza,0,0,0,58
608,eusouakell,0,0,0,3
609,V1nni00,0,0,0,0
610,allefgomes,93,1,11,36
611,luizomf,365,0,0,98
612,sygops,0,0,0,113
613,kelvins,531,7,7,49
614,vitorfs,0,0,0,46
615,deyvin,161,0,0,24
616,bimashazaman,87,0,12,188
617,sunfishcode,2440,81,1016,191
618,LuizEduu,56,0,0,43
619,lichengtao1989,0,1,0,962
620,antoniodebrito,313,0,0,20
621,lucascprazeres,82,15,7,66
622,0xjoaovpsantos,129,0,0,107
